,text,confidence,pos1,pos2,pos3,pos4,lab,pos1_x,pos1_y,pos2_x,pos2_y,pos3_x,pos3_y,pos4_x,pos4_y,pos1_x_org,pos1_y_org,pos3_x_org,pos3_y_org,grp
41,Mie Goreng 90g,0.9606481194496155,"[452, 718]","[659, 721]","[659, 746]","[452, 744]",41,448,714,663,717,663,750,448,748,452,718,659,746,0
42,Mie Salero Padang 86g，,0.9322085380554199,"[825, 712]","[1128, 717]","[1128, 748]","[825, 743]",42,821,708,1132,713,1132,752,821,747,825,712,1128,748,1
43,Pouch2L,0.9849077463150024,"[62, 745]","[180, 745]","[180, 767]","[62, 767]",43,58,741,184,741,184,771,58,771,62,745,180,767,2
44,Korean Spicy Ckn 87g,0.9619805216789246,"[827, 743]","[1123, 744]","[1123, 773]","[827, 772]",44,823,739,1127,740,1127,777,823,776,827,743,1123,773,1
45,Grg Ayam Crispy 88g,0.9331052899360657,"[828, 771]","[1098, 771]","[1098, 800]","[828, 800]",45,824,767,1102,767,1102,804,824,804,828,771,1098,800,1
46,Sedagp,0.83326655626297,"[493, 786]","[621, 786]","[621, 821]","[493, 821]",46,489,782,625,782,625,825,489,825,493,786,621,821,0
47,Rp32.800,0.9439386129379272,"[260, 826]","[393, 830]","[392, 861]","[259, 857]",47,256,822,397,826,396,865,255,861,260,826,392,861,2
48,Sunco,0.8205196261405945,"[87, 852]","[226, 841]","[230, 892]","[91, 902]",48,83,848,230,837,234,896,87,906,87,852,230,892,2
49,27.500,0.9874251484870911,"[257, 859]","[392, 863]","[391, 904]","[255, 901]",49,253,855,396,859,395,908,251,905,257,859,391,904,2
50,Kalimantan&,0.9577673077583313,"[262, 907]","[388, 907]","[388, 929]","[262, 929]",50,258,903,392,903,392,933,258,933,262,907,388,929,2
51,edaar,0.8117319345474243,"[638, 907]","[743, 907]","[743, 929]","[638, 929]",51,634,903,747,903,747,933,634,933,638,907,743,929,0
52,SulawesiRp28.200,0.9913136959075928,"[240, 930]","[410, 930]","[410, 951]","[240, 951]",52,236,926,414,926,414,955,236,955,240,930,410,951,2
